time (seconds),encoderLeft (meters),encoderRight (meters)
44.502,-0.0005083283176645637,-0.0005660607130266726
44.601,-0.0005081089911982417,-0.0005662184557877481
44.701,-0.0005093420040793717,-0.0005675798747688532
44.8,-0.0005105764721520245,-0.0005689384997822344
44.901,-0.000511815887875855,-0.0005703018978238106
45.001,-0.0005130477366037667,-0.0005716579034924507
45.099,-0.0005142862210050225,-0.0005730195553041995
45.201,-0.0005155217368155718,-0.0005743776564486325
45.301,-0.0005167619092389941,-0.0005757400649599731
45.401,-0.0005179971340112388,-0.0005770974094048142
45.501,-0.0005192355602048337,-0.0005784578388556838
45.601,-0.000520478468388319,-0.0005798214115202427
45.701,-0.0005217150901444256,-0.000581177999265492
45.8,-0.00052295794012025,-0.0005825419793836772
45.901,-0.0005241731414571404,-0.0005838833167217672
46.001,-0.0005253158742561936,-0.0005851546884514391
46.101,-0.0005264888168312609,-0.0005864598788321018
46.201,-0.0005276315496303141,-0.000587733811698854
46.302,-0.0005288078682497144,-0.0005890391767024994
46.398,-0.0005299349431879818,-0.0005902996053919196
46.501,-0.0005311171407811344,-0.0005916106165386736
46.601,-0.0005322694778442383,-0.0005928970058448613
46.701,-0.0005333893932402134,-0.0005941479466855526
46.8,-0.0005345806712284684,-0.000595468794927001
46.899,-0.000535721832420677,-0.0005967410397715867
47.002,-0.000536894949618727,-0.0005980422720313072
47.103,-0.0005380652146413922,-0.0005993444356136024
47.199,-0.0005392356542870402,-0.000600644969381392
47.301,-0.0005403755931183696,-0.0006019173306412995
47.4,-0.0005415602936409414,-0.0006032346864230931
47.496,-0.0005427416763268411,-0.0006045493064448237
47.601,-0.0005439434316940606,-0.0006058804574422538
47.701,-0.0005450635799206793,-0.0006071351235732436
47.798,-0.0005462912376970053,-0.0006084948545321822
47.899,-0.0005474255885928869,-0.0006097597070038319
48.001,-0.0005486024892888963,-0.0006110682152211666
48.101,-0.0005497754318639636,-0.0006123726489022374
48.2,-0.0005509323091246188,-0.000613659736700356
48.302,-0.0005520619451999664,-0.0006149196997284889
48.401,-0.0005532419309020042,-0.0006162314675748348
48.497,-0.0005543616716749966,-0.0006174817681312561
48.601,-0.000555548642296344,-0.0006188010447658598
48.701,-0.0005567166954278946,-0.0006201002979651093
48.8,-0.0005578763666562736,-0.0006213915185071528
48.901,-0.0005590502987615764,-0.0006226974073797464
